"index","x","y"
"vf.1",-9,21
"vf.2",-3,21
"vf.3",3,21
"vf.4",9,21
"vf.5",-15,15
"vf.6",-9,15
"vf.7",-3,15
"vf.8",3,15
"vf.9",9,15
"vf.10",15,15
"vf.11",-21,9
"vf.12",-15,9
"vf.13",-9,9
"vf.14",-3,9
"vf.15",3,9
"vf.16",9,9
"vf.17",15,9
"vf.18",21,9
"vf.19",-27,3
"vf.20",-21,3
"vf.21",-15,3
"vf.22",-9,3
"vf.23",-3,3
"vf.24",3,3
"vf.25",9,3
"vf.26",21,3
"vf.27",-27,-3
"vf.28",-21,-3
"vf.29",-15,-3
"vf.30",-9,-3
"vf.31",-3,-3
"vf.32",3,-3
"vf.33",9,-3
"vf.34",21,-3
"vf.35",-21,-9
"vf.36",-15,-9
"vf.37",-9,-9
"vf.38",-3,-9
"vf.39",3,-9
"vf.40",9,-9
"vf.41",15,-9
"vf.42",21,-9
"vf.43",-15,-15
"vf.44",-9,-15
"vf.45",-3,-15
"vf.46",3,-15
"vf.47",9,-15
"vf.48",15,-15
"vf.49",-9,-21
"vf.50",-3,-21
"vf.51",3,-21
"vf.52",9,-21
